,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
392,효도치킨 (휴업중),4.3,강남구,서울특별시 강남구 도산대로46길 21 한진로즈힐아파트상가 101동 120호,닭 / 오리 요리,가격대 만원-2만원,2022-02-22,맛있다,57,44.0,11.0,2.0
393,오르비에토,4.3,강남구,서울특별시 강남구 도산대로19길 20,이탈리안,가격대 만원-2만원,2022-04-06,맛있다,32,25.0,7.0,0.0
394,양식당더램키친,4.3,강남구,서울특별시 강남구 압구정로8길 5,고기 요리,가격대 3만원-4만원,2022-06-19,맛있다,68,60.0,5.0,3.0
395,잭슨피자,4.3,강남구,서울특별시 강남구 압구정로 144 1F 107호,기타 양식,가격대 만원-2만원,2022-08-04,맛있다,45,33.0,9.0,3.0
396,몰타참치,4.3,강남구,서울특별시 강남구 삼성로85길 26,회 / 스시,가격대 4만원 이상,2022-08-09,맛있다,44,36.0,7.0,1.0
397,심양양꼬치,4.3,강남구,서울특별시 강남구 선릉로161길 21 1층,기타 중식,가격대 만원-2만원,2022-06-08,맛있다,60,45.0,12.0,3.0
398,네기스키야키,4.3,강남구,서울특별시 강남구 논현로 854 B1,기타 일식,가격대 4만원 이상,2022-03-02,맛있다,20,14.0,4.0,2.0
399,구전동화,4.3,강남구,서울특별시 강남구 압구정로46길 26 2F,고기 요리,가격대 4만원 이상,2022-07-16,맛있다,17,14.0,2.0,1.0
400,조연탄,4.3,강서구,서울특별시 강서구 곰달래로60길 29,고기 요리,가격대 만원-2만원,2022-05-21,맛있다,63,54.0,6.0,3.0
401,자이온,4.3,강서구,서울특별시 강서구 공항대로61길 10-11,브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-07-30,맛있다,23,21.0,2.0,0.0
402,원조나주곰탕,4.3,강서구,서울특별시 강서구 양천로14길 10,탕 / 찌개 / 전골,가격대 만원-2만원,2022-06-17,맛있다,25,21.0,4.0,0.0
