,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
471,시월애도토리,0.0,중랑구, 서울특별시 중랑구 동일로109길 90 대명빌딩,한식, 만원 미만,2019-11-02,맛있다,2,2.0,0.0,0.0
472,토리자까나,0.0,중랑구, 서울특별시 중랑구 신내로 225 디아뜨갤러리,주점, 만원-2만원,2015-07-16,괜찮다,2,1.0,1.0,0.0
473,카페굿업,0.0,중랑구, 서울특별시 중랑구 면목로66길 11,카페/디저트, 만원 미만,2019-11-04,맛있다,2,1.0,1.0,0.0
474,슈가버터,0.0,중랑구, 서울특별시 중랑구 송림길 5 1F,카페/디저트, 만원 미만,2021-11-28,맛있다,2,2.0,0.0,0.0
475,어수라생선구이,0.0,중랑구, 서울특별시 중랑구 면목로91길 19,한식, 만원 미만,0,0,1,1.0,0.0,0.0
476,어썸커피,0.0,중랑구, 서울특별시 중랑구 신내로 211 금강리빙스텔,카페/디저트, 만원 미만,0,0,2,0.0,2.0,0.0
477,두루두루 베이비카페,0.0,중랑구, 서울특별시 중랑구 동일로154길 17,카페/디저트, 만원 미만,0,0,1,1.0,0.0,0.0
478,청담,0.0,중랑구, 서울특별시 중랑구 중랑역로 82,한식, 만원-2만원,0,0,1,1.0,0.0,0.0
479,꿀삼겹,0.0,중랑구, 서울특별시 중랑구 면목로91길 45,한식, 만원-2만원,2019-10-13,맛있다,9,4.0,3.0,2.0
480,데일리파크,0.0,중랑구, 서울특별시 중랑구 신내로15길 196,카페/디저트, 만원 미만,2017-10-28,별로,7,2.0,4.0,1.0
481,봉화산커피,0.0,중랑구, 서울특별시 중랑구 신내로 225 디아뜨갤러리상가 136호,카페/디저트, 만원 미만,2021-11-08,맛있다,5,2.0,3.0,0.0
482,오늘그릴,0.0,중랑구, 서울특별시 중랑구 봉화산로54길 5,양식, 만원-2만원,2019-03-28,괜찮다,3,2.0,1.0,0.0
483,태능대게하우스,0.0,중랑구, 서울특별시 중랑구 동일로 938,기타, 4만원 이상,2020-08-22,괜찮다,2,1.0,1.0,0.0
484,유정순대,0.0,중랑구, 서울특별시 중랑구 면목로37길 42,한식, 만원 미만,2017-06-19,맛있다,2,2.0,0.0,0.0
485,산오징어집,0.0,중랑구, 서울특별시 중랑구 용마산로115길 31,기타,0,2020-10-04,괜찮다,2,0.0,2.0,0.0
486,쭈꾸미킹2 0,0.0,중랑구, 서울특별시 중랑구 송림길 13,기타, 만원-2만원,2020-11-29,맛있다,13,6.0,5.0,2.0
487,동강오리,0.0,중랑구, 서울특별시 중랑구 용마산로115길 10,한식, 만원-2만원,2020-10-26,괜찮다,7,3.0,3.0,1.0
