,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점
51,카페그레도,4.0,성북구, 서울특별시 성북구 화랑로 304 1F,카페/디저트, 만원 미만,2022-07-17,맛있다,19,11.0,7.0,1.0,1.8947368421052633
52,국시집,4.0,성북구, 서울특별시 성북구 창경궁로43길 9,한식, 만원 미만,2022-06-19,맛있다,37,24.0,9.0,4.0,1.7297297297297298
53,샐러드프린세스,4.0,성북구, 서울특별시 성북구 화랑로13길 42,양식, 만원 미만,2021-04-04,맛있다,35,29.0,5.0,1.0,3.085714285714286
54,봉화묵집,4.0,성북구, 서울특별시 성북구 아리랑로19길 46-2,한식, 만원 미만,2022-01-16,맛있다,23,18.0,2.0,3.0,2.086956521739131
55,모블러,4.0,성북구, 서울특별시 성북구 동소문로26다길 26 1F,카페/디저트, 만원 미만,2022-08-07,맛있다,19,17.0,0.0,2.0,2.736842105263158
56,백두산양꼬치구이,4.0,성북구, 서울특별시 성북구 동소문로20다길 24,중식, 만원-2만원,2021-05-13,맛있다,27,24.0,3.0,0.0,3.5555555555555554
57,어흥식당,4.0,성북구, 서울특별시 성북구 고려대로27길 40,양식, 만원 미만,2022-06-08,맛있다,23,17.0,6.0,0.0,2.9565217391304346
58,루틴,4.0,성북구, 서울특별시 성북구 보문로34가길 6 1F,카페/디저트, 만원 미만,2021-11-25,맛있다,13,10.0,3.0,0.0,3.076923076923077
59,오버스토리,4.0,성북구, 서울특별시 성북구 선잠로2다길 13-13 B1,카페/디저트, 만원 미만,2022-07-31,맛있다,7,6.0,1.0,0.0,3.4285714285714284
60,샌드위치하우스,4.0,성북구, 서울특별시 성북구 보문로34가길 2,양식, 만원 미만,2021-05-30,맛있다,37,31.0,4.0,2.0,2.918918918918919
61,모던양갱집,4.0,성북구, 서울특별시 성북구 보국문로16길 72,카페/디저트, 만원 미만,2022-05-13,맛있다,8,7.0,1.0,0.0,3.5
62,바스크,4.0,성북구, 서울특별시 성북구 삼양로9길 10-2,카페/디저트, 만원 미만,2021-12-10,맛있다,9,7.0,2.0,0.0,3.111111111111111
63,우리할매떡볶이,4.0,성북구, 서울특별시 성북구 보문로30길 82,한식, 만원 미만,2022-03-30,맛있다,15,13.0,2.0,0.0,3.466666666666667
64,이세돈가스,4.0,성북구, 서울특별시 성북구 개운사길 32,일식, 만원 미만,2022-06-08,맛있다,20,16.0,0.0,4.0,1.6
65,천막집,4.0,성북구, 서울특별시 성북구 보문로30길 31 1F,한식, 만원-2만원,2022-07-03,맛있다,7,5.0,2.0,0.0,2.857142857142857
66,호랑이김밥,4.0,성북구, 서울특별시 성북구 성북로 18,한식, 만원 미만,2022-06-28,맛있다,6,4.0,2.0,0.0,2.6666666666666665
67,블랑제메종북악,3.9,성북구, 서울특별시 성북구 성북로 156,카페/디저트, 만원 미만,2022-07-21,맛있다,44,31.0,9.0,4.0,2.0386363636363636
68,프로마치,3.9,성북구, 서울특별시 성북구 인촌로24가길 13,양식, 만원 미만,2022-07-03,맛있다,105,77.0,18.0,10.0,2.1171428571428574
69,디어브레드,3.9,성북구, 서울특별시 성북구 개운사1길 29,카페/디저트, 만원 미만,2022-01-29,맛있다,129,107.0,17.0,5.0,2.932558139534884
70,해로커피,3.9,성북구, 서울특별시 성북구 성북로 19-3,카페/디저트, 만원 미만,2022-07-22,괜찮다,22,14.0,8.0,0.0,2.481818181818182
71,제뉴어리피크닉,3.9,성북구, 서울특별시 성북구 창경궁로43길 26,카페/디저트, 만원 미만,2022-02-22,맛있다,16,11.0,4.0,1.0,2.19375
72,야마토텐동,3.9,성북구, 서울특별시 성북구 고려대로28길 2,일식, 만원 미만,2022-03-08,맛있다,37,24.0,12.0,1.0,2.3189189189189188
73,히포크라테스 스프,3.9,성북구, 서울특별시 성북구 고려대로28길 12-3,양식, 만원 미만,2022-07-21,맛있다,43,32.0,7.0,4.0,2.1767441860465113
74,꽌부이,3.9,성북구, 서울특별시 성북구 인촌로27길 28,다국적음식, 만원 미만,2021-10-15,괜찮다,38,26.0,10.0,2.0,2.257894736842105
75,할매숯불닭갈비,3.9,성북구, 서울특별시 성북구 동소문로20길 37-5,한식, 만원-2만원,2022-04-26,맛있다,28,17.0,6.0,5.0,0.9750000000000001
76,리이케,3.9,성북구, 서울특별시 성북구 보문로34가길 24,카페/디저트, 만원 미만,2021-12-09,별로,16,12.0,2.0,2.0,1.9499999999999997
77,언니네반점,3.9,성북구, 서울특별시 성북구 인촌로27길 42,중식, 만원 미만,2022-07-29,맛있다,24,15.0,6.0,3.0,1.4625
78,살살솔트앤샐러드,3.9,성북구, 서울특별시 성북구 성북로6길 20 1F,양식, 만원 미만,2022-06-24,괜찮다,17,12.0,3.0,2.0,1.835294117647059
79,사랑마라탕,3.9,성북구, 서울특별시 성북구 개운사길 21-3,중식, 만원 미만,2022-06-23,맛있다,34,23.0,8.0,3.0,1.95
80,우주제빵소,3.9,성북구, 서울특별시 성북구 성북로28길 13,카페/디저트, 만원 미만,2022-06-21,맛있다,6,5.0,1.0,0.0,3.25
81,더홈서울,3.9,성북구, 서울특별시 성북구 인촌로1길 87,카페/디저트, 만원 미만,2022-05-28,맛있다,15,10.0,5.0,0.0,2.6
82,선동보리밥,3.9,성북구, 서울특별시 성북구 성북로 134-4,한식, 만원-2만원,2022-06-04,괜찮다,9,6.0,1.0,2.0,0.8666666666666663
83,달콤한위로,3.9,성북구, 서울특별시 성북구 창경궁로43길 24,카페/디저트, 만원 미만,2022-05-07,맛있다,9,7.0,2.0,0.0,3.033333333333333
84,와플앨리,3.9,성북구, 서울특별시 성북구 보문로34길 68-3,카페/디저트, 만원 미만,2021-04-21,맛있다,17,13.0,4.0,0.0,2.98235294117647
85,돈암순대,3.9,성북구, 서울특별시 성북구 동소문로18길 12-3,한식, 만원 미만,2020-04-30,맛있다,20,15.0,4.0,1.0,2.5349999999999997
86,황준호베이커리,3.9,성북구, 서울특별시 성북구 고려대로 86,카페/디저트, 만원 미만,2022-04-25,맛있다,31,23.0,6.0,2.0,2.3903225806451616
87,장수식당,3.9,성북구, 서울특별시 성북구 정릉로26길 55,한식, 만원 미만,2022-07-13,맛있다,6,6.0,0.0,0.0,3.9
88,춘자,3.9,성북구, 서울특별시 성북구 인촌로26길 42-2,주점, 만원 미만,2022-03-08,괜찮다,39,28.0,10.0,1.0,2.6
89,슬로우브레드파파,3.9,성북구, 서울특별시 성북구 보문로30나길 29,카페/디저트, 만원 미만,2021-07-21,맛있다,12,11.0,1.0,0.0,3.5749999999999997
90,그릭데이,3.9,성북구, 서울특별시 성북구 보문로34길 66,카페/디저트, 만원 미만,2021-06-11,맛있다,9,7.0,2.0,0.0,3.033333333333333
91,북경양꼬치,3.9,성북구, 서울특별시 성북구 인촌로24길 3-36 1F,중식, 만원-2만원,2021-09-22,맛있다,18,13.0,4.0,1.0,2.383333333333333
92,수연산방,3.8,성북구, 서울특별시 성북구 성북로26길 8,카페/디저트, 만원-2만원,2022-06-30,맛있다,104,62.0,32.0,10.0,1.5346153846153845
93,로스디아스,3.8,성북구, 서울특별시 성북구 동소문로22길 67 2F,카페/디저트, 만원 미만,2022-05-18,괜찮다,34,21.0,13.0,0.0,2.347058823529412
94,제순식당,3.8,성북구, 서울특별시 성북구 동소문로20다길 30-9,한식, 만원 미만,2021-10-08,별로,95,62.0,22.0,11.0,1.6
95,메종드루즈,3.8,성북구, 서울특별시 성북구 보문로34길 68-5 1F,카페/디저트, 만원 미만,2020-10-12,맛있다,70,53.0,13.0,4.0,2.4428571428571426
96,포도집,3.8,성북구, 서울특별시 성북구 정릉로32길 4 1F,양식, 2만원-3만원,2022-04-08,맛있다,14,8.0,4.0,2.0,1.0857142857142856
97,안선생주가,3.8,성북구, 서울특별시 성북구 동소문로20다길 14 2F,중식, 만원 미만,2022-03-27,괜찮다,21,14.0,5.0,2.0,1.8095238095238093
98,죠셉의커피나무,3.8,성북구, 서울특별시 성북구 성북로31길 65,카페/디저트, 만원 미만,2022-01-20,맛있다,11,7.0,3.0,1.0,1.727272727272727
99,구포국수,3.8,성북구, 서울특별시 성북구 성북로 52-1,한식, 만원 미만,2022-08-06,맛있다,14,10.0,3.0,1.0,2.1714285714285717
100,폴드커피,3.8,성북구, 서울특별시 성북구 종암로 214-3,카페/디저트, 만원 미만,2022-01-18,괜찮다,11,6.0,4.0,1.0,1.3818181818181814
101,본크레페,3.8,성북구, 서울특별시 성북구 동소문로20다길 30,카페/디저트, 만원 미만,2021-06-04,맛있다,31,28.0,3.0,0.0,3.432258064516129
102,캘린더커피스탠드,3.8,성북구, 서울특별시 성북구 고려대로 40 1F,카페/디저트, 만원 미만,2022-02-10,맛있다,8,6.0,2.0,0.0,2.8499999999999996
103,미스터국밥,3.8,성북구, 서울특별시 성북구 고려대로 102,한식, 만원 미만,2022-07-29,맛있다,12,6.0,6.0,0.0,1.8999999999999997
104,버들국수,3.8,성북구, 서울특별시 성북구 화랑로40길 39,한식, 만원 미만,2022-07-08,맛있다,9,6.0,3.0,0.0,2.533333333333333
105,나폴레옹과자점,3.7,성북구, 서울특별시 성북구 성북로 7,카페/디저트, 만원 미만,2 일 전,맛있다,124,77.0,38.0,9.0,1.7604838709677422
106,쓰리로보스,3.7,성북구, 서울특별시 성북구 동소문로20다길 25,양식, 만원-2만원,6 일 전,괜찮다,48,34.0,11.0,3.0,2.1583333333333337
107,하단,3.7,성북구, 서울특별시 성북구 성북로6길 14,한식, 만원-2만원,2022-05-08,맛있다,47,27.0,11.0,9.0,0.7085106382978721
108,성북동돼지갈비집,3.7,성북구, 서울특별시 성북구 성북로 115,한식, 만원 미만,2021-03-24,맛있다,21,12.0,6.0,3.0,1.0571428571428574
109,송림원,3.7,성북구, 서울특별시 성북구 동소문로 25-2,중식, 만원 미만,2022-05-26,괜찮다,10,6.0,3.0,1.0,1.4800000000000002
110,태조감자국,3.7,성북구, 서울특별시 성북구 보문로34길 43 세학빌딩,한식, 만원 미만,2022-05-30,맛있다,36,21.0,11.0,4.0,1.3361111111111108
111,카페 원오프,3.7,성북구, 서울특별시 성북구 동소문로22길 57-4 2F,카페/디저트, 만원 미만,2021-06-11,괜찮다,10,5.0,5.0,0.0,1.85
112,커피명가,3.7,성북구, 서울특별시 성북구 안암로5길 40,카페/디저트, 만원 미만,2022-01-24,맛있다,19,14.0,5.0,0.0,2.7263157894736842
113,아뜰리에에마미,3.7,성북구, 서울특별시 성북구 보문로34나길 4,카페/디저트, 만원 미만,2021-06-27,맛있다,18,13.0,5.0,0.0,2.6722222222222225
114,문화식당,3.7,성북구, 서울특별시 성북구 혜화로 88 2F,양식, 만원-2만원,2022-05-31,괜찮다,13,10.0,3.0,0.0,2.8461538461538463
115,소담,3.7,성북구, 서울특별시 성북구 지봉로24길 31,일식, 만원 미만,2022-07-05,맛있다,10,8.0,2.0,0.0,2.96
116,카페58.4,3.7,성북구, 서울특별시 성북구 성북로16길 4-13,카페/디저트, 만원 미만,2022-08-06,괜찮다,10,7.0,2.0,1.0,1.8500000000000003
117,창신동매운족발,3.7,성북구, 서울특별시 성북구 한천로78길 57,한식, 만원-2만원,2021-11-06,맛있다,23,17.0,4.0,2.0,2.091304347826087
118,라이라이라이,3.7,성북구, 서울특별시 성북구 보문로34길 76,다국적음식, 만원 미만,2021-09-30,맛있다,14,9.0,5.0,0.0,2.378571428571429
119,애정훠궈,3.7,성북구, 서울특별시 성북구 동소문로20나길 32 2F,중식, 만원-2만원,2021-03-13,괜찮다,12,7.0,5.0,0.0,2.1583333333333337
120,마몽함박,3.7,성북구, 서울특별시 성북구 보국문로 92 1F,양식, 만원 미만,2021-11-02,맛있다,9,7.0,1.0,1.0,2.055555555555556
121,정상호프,3.7,성북구, 서울특별시 성북구 개운사길 2,양식, 만원 미만,2021-05-25,괜찮다,62,40.0,19.0,3.0,2.0290322580645164
122,핸썸베이글,3.7,성북구, 서울특별시 성북구 개운사1길 23,양식, 만원 미만,2021-04-22,맛있다,20,11.0,9.0,0.0,2.035
123,더허브,3.7,성북구, 서울특별시 성북구 인촌로24가길 8,주점,0,2020-10-16,괜찮다,16,11.0,5.0,0.0,2.54375
124,한잔의추억,3.7,성북구, 서울특별시 성북구 인촌로26길 30,주점, 만원-2만원,2022-03-08,괜찮다,24,16.0,7.0,1.0,2.158333333333333
125,커피수공업,3.7,성북구, 서울특별시 성북구 고려대로 51,카페/디저트, 만원 미만,2022-02-16,괜찮다,14,10.0,4.0,0.0,2.642857142857143
126,영철버거,3.7,성북구, 서울특별시 성북구 안암로9가길 100,양식, 만원 미만,2022-04-06,괜찮다,6,3.0,3.0,0.0,1.8500000000000003
127,퍼틴,3.7,성북구, 서울특별시 성북구 동소문로 315 현대백화점 미아점 9F,다국적음식, 만원-2만원,2022-05-31,괜찮다,5,4.0,1.0,0.0,2.96
128,윤휘식당,3.6,성북구, 서울특별시 성북구 보문로34길 70,일식, 만원-2만원,2022-01-31,맛있다,109,60.0,32.0,17.0,0.8587155963302753
129,알렉스더커피,3.6,성북구, 서울특별시 성북구 성북로28길 9,카페/디저트, 만원 미만,2022-06-20,괜찮다,46,29.0,16.0,1.0,2.11304347826087
130,오박사네왕돈가스,3.6,성북구, 서울특별시 성북구 혜화로 80,한식, 만원 미만,2022-06-24,맛있다,27,10.0,13.0,4.0,0.2666666666666666
131,유자유김치떡볶이,3.6,성북구, 서울특별시 성북구 인촌로24길 47,한식, 만원 미만,2022-07-14,맛있다,81,37.0,30.0,14.0,0.40000000000000013
132,가부,3.6,성북구, 서울특별시 성북구 보문로 182 1F,중식, 만원 미만,2020-08-30,괜찮다,14,8.0,5.0,1.0,1.5428571428571431
133,어스핸드위치,3.6,성북구, 서울특별시 성북구 동소문로22길 60 2F,카페/디저트, 만원 미만,2021-10-14,맛있다,22,16.0,5.0,1.0,2.290909090909091
134,네임드에스프레소,3.6,성북구, 서울특별시 성북구 성북로6길 2-2,카페/디저트, 만원 미만,2022-07-24,괜찮다,23,10.0,5.0,8.0,-0.9391304347826088
135,성북동 이안,3.6,성북구, 서울특별시 성북구 성북로5길 29-19 1F,양식, 만원-2만원,2022-07-29,괜찮다,10,5.0,4.0,1.0,1.08
136,투고샐러드,3.6,성북구, 서울특별시 성북구 보문로30나길 36,양식, 만원 미만,2021-01-31,맛있다,30,19.0,11.0,0.0,2.2800000000000002
137,몰리다.,3.6,성북구, 서울특별시 성북구 혜화로 88,카페/디저트, 만원 미만,2021-10-15,괜찮다,17,9.0,6.0,2.0,1.0588235294117645
138,마이란,3.6,성북구, 서울특별시 성북구 동소문로22길 33-9 1F,양식, 만원 미만,2021-10-13,별로,12,9.0,2.0,1.0,2.0999999999999996
139,모이리타,3.6,성북구, 서울특별시 성북구 인촌로24길 20 2F,양식, 만원-2만원,2021-10-16,괜찮다,30,19.0,6.0,5.0,1.0800000000000003
140,더보일,3.6,성북구, 서울특별시 성북구 고려대로28길 17-3 해랑빌딩 1F,카페/디저트, 만원 미만,2022-04-27,맛있다,5,2.0,3.0,0.0,1.44
141,기차순대국,3.6,성북구, 서울특별시 성북구 보국문로11길 18-6,한식,0,2021-08-22,맛있다,10,6.0,4.0,0.0,2.16
142,석관시장떡볶이,3.6,성북구, 서울특별시 성북구 돌곶이로18길 27-9,한식, 만원 미만,2022-02-23,맛있다,16,11.0,3.0,2.0,1.5750000000000002
143,서울쌈냉면,3.6,성북구, 서울특별시 성북구 개운사길 21-4,한식, 만원 미만,2022-07-22,괜찮다,25,14.0,6.0,5.0,0.5760000000000001
144,비야,3.6,성북구, 서울특별시 성북구 개운사길 22-3 1F,한식, 만원 미만,2022-07-22,맛있다,26,6.0,17.0,3.0,0.0
145,무르무르드구스토,3.5,성북구, 서울특별시 성북구 고려대로 102-2 4F,양식, 2만원-3만원,2021-10-16,괜찮다,64,33.0,20.0,11.0,0.6015625
146,김태완의 초밥좋은날,3.5,성북구, 서울특별시 성북구 동소문로20길 32,일식, 만원-2만원,2021-06-13,괜찮다,44,27.0,13.0,4.0,1.5113636363636367
147,놈 (휴업중),3.5,성북구, 서울특별시 성북구 보문로30길 81,양식, 만원-2만원,2019-10-16,괜찮다,54,26.0,24.0,4.0,1.1666666666666665
148,삼통치킨,3.5,성북구, 서울특별시 성북구 인촌로24길 60,한식, 만원 미만,2022-04-04,괜찮다,51,21.0,24.0,6.0,0.6176470588235294
149,이웃집라자냐,3.5,성북구, 서울특별시 성북구 오패산로 23,양식, 만원 미만,2022-03-13,괜찮다,7,3.0,3.0,1.0,0.5
150,어셈블리,3.5,성북구, 서울특별시 성북구 동소문로 93-9 1F,카페/디저트, 만원 미만,2022-07-14,맛있다,12,11.0,1.0,0.0,3.2083333333333335
151,매스플레이트,3.5,성북구, 서울특별시 성북구 개운사길 18 2F,양식, 만원-2만원,2022-03-08,괜찮다,33,16.0,12.0,5.0,0.6363636363636365
152,조비스그릴,3.5,성북구, 서울특별시 성북구 성북로 110,다국적음식, 만원-2만원,2022-05-25,괜찮다,7,3.0,2.0,2.0,-0.5
153,창신동매운족발,3.5,성북구, 서울특별시 성북구 한천로78길 52,한식, 2만원-3만원,2022-02-26,괜찮다,14,8.0,4.0,2.0,1.0
154,일일커피,3.5,성북구, 서울특별시 성북구 삼양로 27,카페/디저트, 만원 미만,2022-02-27,괜찮다,8,4.0,4.0,0.0,1.75
155,치즈를사랑한찜닭,3.5,성북구, 서울특별시 성북구 개운사길 21-3 2F,한식, 만원 미만,2022-03-08,괜찮다,10,4.0,6.0,0.0,1.4
156,문화식당,3.4,성북구, 서울특별시 성북구 보문로30나길 37,주점, 만원-2만원,2022-01-22,맛있다,73,38.0,28.0,7.0,1.117808219178082
157,금왕돈까스,3.4,성북구, 서울특별시 성북구 성북로 138,한식, 만원 미만,2022-06-30,별로,42,12.0,22.0,8.0,-0.323809523809524
158,베나레스,3.4,성북구, 서울특별시 성북구 인촌로24길 27,다국적음식, 만원 미만,2021-08-08,괜찮다,82,33.0,42.0,7.0,0.7878048780487805
159,프로젝트얼스,3.4,성북구, 서울특별시 성북구 성북로15길 21,카페/디저트, 만원 미만,2022-05-03,괜찮다,13,9.0,4.0,0.0,2.3538461538461535
160,쿠이도라쿠라멘,3.4,성북구, 서울특별시 성북구 안암로 103,일식, 만원 미만,2019-10-16,괜찮다,76,47.0,18.0,11.0,1.118421052631579
161,옛날중국집,3.4,성북구, 서울특별시 성북구 성북로8길 8,중식, 만원 미만,2021-08-24,맛있다,25,13.0,3.0,9.0,-0.6800000000000002
162,로맨틱식탁,3.4,성북구, 서울특별시 성북구 보문로34길 45,주점, 2만원-3만원,2022-03-29,괜찮다,18,9.0,4.0,5.0,-0.18888888888888888
163,마이셰프,3.4,성북구, 서울특별시 성북구 인촌로24가길 14-1,양식, 만원-2만원,2022-02-15,괜찮다,14,9.0,4.0,1.0,1.6999999999999997
164,도쿄커틀릿,3.4,성북구, 서울특별시 성북구 동소문로22길 57-1,일식, 만원 미만,2021-06-11,괜찮다,24,10.0,11.0,3.0,0.5666666666666668
165,피알디,3.4,성북구, 서울특별시 성북구 동소문로25길 9 휴림빌딩 1F,카페/디저트, 만원 미만,2021-06-18,맛있다,8,2.0,6.0,0.0,0.85
