,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점,위도,경도,인접역,인접역까지의거리
32,비나,4.3,동대문구, 서울특별시 동대문구 안암로24길 4,다국적음식, 만원 미만,2022-03-08,맛있다,34.0,30.0,3.0,1.0,3.541176470588235,37.5882208,127.0361111,청량리,0.5116509902286527
33,촨커,4.3,동대문구, 서울특별시 동대문구 이문로9길 105,중식, 만원-2만원,2022-06-30,맛있다,30.0,26.0,4.0,0.0,3.7266666666666666,37.5968018,127.0567631,청량리,1.5534210434305884
34,커피그라운즈,4.2,동대문구, 서울특별시 동대문구 답십리로48길 57,카페/디저트, 만원 미만,9 시간 전,맛있다,25.0,23.0,2.0,0.0,3.864,37.5683314,127.0577213,왕십리,2.04822189726946
35,이문동커피집,4.2,동대문구, 서울특별시 동대문구 이문로25길 39 1F,카페/디저트, 만원 미만,2022-06-30,맛있다,40.0,37.0,3.0,0.0,3.885,37.5955379,127.058147,청량리,1.6163870030241954
36,답십리별미,4.2,동대문구, 서울특별시 동대문구 답십리로48길 98,한식, 만원 미만,2022-07-30,맛있다,11.0,10.0,1.0,0.0,3.8181818181818175,37.5683314,127.0577213,왕십리,2.04822189726946
37,포레스티,4.2,동대문구, 서울특별시 동대문구 이문로9나길 32,양식, 만원 미만,2022-07-02,맛있다,26.0,22.0,4.0,0.0,3.553846153846154,37.5976347,127.0565904,청량리,1.580365028278934
38,알로하올라,4.2,동대문구, 서울특별시 동대문구 회기로 133-1 1F,카페/디저트, 만원 미만,2022-06-03,맛있다,7.0,6.0,1.0,0.0,3.6000000000000005,37.5899435,127.0567032,청량리,1.415082961940155
39,백정스테이크바,4.1,동대문구, 서울특별시 동대문구 망우로 122-10,양식, 2만원-3만원,2021-05-09,맛있다,7.0,6.0,1.0,0.0,3.514285714285714,37.590888750000005,127.06665686733768,상봉,1.8000516661490347
40,씨위드커피,4.1,동대문구, 서울특별시 동대문구 회기로25길 59 1F,카페/디저트, 만원 미만,2022-06-09,맛있다,6.0,6.0,0.0,0.0,4.1,37.5913346,127.0545902,청량리,1.2240950783005344
41,양자호떡,4.0,동대문구, 서울특별시 동대문구 회기로 161 1F,카페/디저트, 만원 미만,2022-03-08,맛있다,18.0,16.0,2.0,0.0,3.555555555555556,37.5899435,127.0567032,청량리,1.415082961940155
42,에잇올리,4.0,동대문구, 서울특별시 동대문구 경희대로6길 3-2 1F,양식, 만원 미만,2022-05-25,맛있다,9.0,8.0,1.0,0.0,3.555555555555556,37.5928649,127.0534219,청량리,1.1389619302983542
43,티하우스나니,4.3,중랑구, 서울특별시 중랑구 용마산로117길 26 102호,카페/디저트, 만원 미만,2022-02-21,맛있다,20.0,20.0,0.0,0.0,4.3,37.6001354,127.0986158,상봉,1.197860423578446
44,용마해장국,4.3,중랑구, 서울특별시 중랑구 용마공원로5길 8,한식, 만원 미만,2022-05-05,맛있다,11.0,11.0,0.0,0.0,4.3,37.5946518,127.1023281,상봉,1.476328998338583
45,숯불닭갈비에 반하닭,4.7,중랑구, 서울특별시 중랑구 면목로 352 1F,한식, 만원-2만원,2020-11-08,맛있다,18.0,17.0,1.0,0.0,4.438888888888889,37.5963518,127.0855162,상봉,0.03771427650332673
46,연희미식,4.8,서대문구, 서울특별시 서대문구 연희맛로 22 삼원빌딩,다국적음식, 만원-2만원,2022-07-29,맛있다,41.0,36.0,5.0,0.0,4.214634146341463,37.5681511,126.9309717,홍대입구,1.4249416941139723
47,메노,4.7,서대문구, 서울특별시 서대문구 연희로26가길 15,양식, 만원-2만원,2022-07-16,맛있다,14.0,13.0,1.0,0.0,4.364285714285715,37.5741935,126.9368854,홍대입구,2.2657630666267434
48,쿳사,4.6,서대문구, 서울특별시 서대문구 증가로 48 상가 1F 103호,양식, 만원-2만원,2022-07-04,맛있다,17.0,17.0,0.0,0.0,4.6,37.5710901,126.9296172,홍대입구,1.6814723487388064
49,정리의밤,4.6,서대문구, 서울특별시 서대문구 연희맛로 31-10,주점, 2만원-3만원,2022-08-01,맛있다,7.0,7.0,0.0,0.0,4.6,37.5681511,126.9309717,홍대입구,1.4249416941139723
50,스탠바이키친,4.5,서대문구, 서울특별시 서대문구 연대동문길 49,양식, 만원 미만,2022-06-19,맛있다,149.0,128.0,17.0,4.0,3.624161073825504,37.565171,126.9453007,공덕,2.123237401380039
51,센트그릴 BBQ,4.5,서대문구, 서울특별시 서대문구 연희로 89-3 B1,양식, 만원-2만원,2022-04-29,맛있다,41.0,34.0,7.0,0.0,3.731707317073171,37.5661095,126.9296422,홍대입구,1.169472794559956
52,롱보트스모커,4.5,서대문구, 서울특별시 서대문구 증가로 27 1F,양식, 만원 미만,2022-06-20,맛있다,9.0,9.0,0.0,0.0,4.5,37.5710901,126.9296172,홍대입구,1.6814723487388064
53,천진분식,4.4,서대문구, 서울특별시 서대문구 이화여대5길 7,중식, 만원 미만,2022-05-13,맛있다,38.0,31.0,7.0,0.0,3.5894736842105264,37.5583611,126.9446118,공덕,1.4411398659880161
54,락희안,4.4,서대문구, 서울특별시 서대문구 가재울로4길 53,중식, 만원 미만,2022-04-28,맛있다,18.0,17.0,1.0,0.0,4.155555555555556,37.5763184,126.9242522,홍대입구,2.1788867419628843
55,폴앤폴리나,4.4,서대문구, 서울특별시 서대문구 연희로11길 56,카페/디저트, 만원 미만,2022-08-07,맛있다,33.0,33.0,0.0,0.0,4.4,37.5701018,126.9277475,홍대입구,1.530367919267604
56,책바,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 101호,주점, 만원-2만원,2022-01-22,맛있다,26.0,25.0,1.0,0.0,4.230769230769232,37.5681511,126.9309717,홍대입구,1.4249416941139723
57,연남장,4.4,서대문구, 서울특별시 서대문구 연희로5길 22 1F,카페/디저트, 만원-2만원,2022-06-21,맛있다,20.0,18.0,2.0,0.0,3.96,37.5658427,126.9267829,홍대입구,1.0505161626981099
58,떼뮤즐렛,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 2F,주점, 만원-2만원,2022-08-04,맛있다,26.0,26.0,0.0,0.0,4.4,37.5681511,126.9309717,홍대입구,1.4249416941139723
59,다이닝후,4.4,서대문구, 서울특별시 서대문구 충정로 43-1,양식, 2만원-3만원,2022-06-28,맛있다,9.0,8.0,1.0,0.0,3.911111111111112,37.562026,126.9620228,시청,1.3703547776872191
60,인생이막창이네,4.4,서대문구, 서울특별시 서대문구 연세로7안길 51 1F,한식, 만원-2만원,2022-06-12,맛있다,17.0,16.0,1.0,0.0,4.141176470588236,37.5583893,126.9342625,홍대입구,0.9542199484862748
61,크래프트비어칸,4.3,서대문구, 서울특별시 서대문구 연희로11길 7,주점, 만원-2만원,2022-06-16,맛있다,25.0,23.0,2.0,0.0,3.956,37.5701018,126.9277475,홍대입구,1.530367919267604
62,위드미치코,4.3,서대문구, 서울특별시 서대문구 충정로4길 20,주점, 만원-2만원,2022-07-17,맛있다,29.0,26.0,3.0,0.0,3.855172413793104,37.5600063,126.9645013,시청,1.2602761217561949
63,심플리키친,4.3,서대문구, 서울특별시 서대문구 이화여대5길 35 107호,한식, 만원 미만,2022-05-18,맛있다,33.0,28.0,5.0,0.0,3.648484848484848,37.5583611,126.9446118,공덕,1.4411398659880161
64,바코드,4.3,서대문구, 서울특별시 서대문구 연세로9길 26,주점, 만원-2만원,2022-05-08,맛있다,27.0,24.0,2.0,1.0,3.5037037037037035,37.5588649,126.934065,홍대입구,0.9489769980561328
65,탭스터,4.3,서대문구, 서울특별시 서대문구 증가로 1 103호,주점, 만원-2만원,2022-07-29,맛있다,17.0,16.0,1.0,0.0,4.047058823529412,37.5710901,126.9296172,홍대입구,1.6814723487388064
66,여래여거,4.3,서대문구, 서울특별시 서대문구 이화여대길 56-3 1F,일식, 4만원 이상,2022-03-04,맛있다,6.0,6.0,0.0,0.0,4.3,37.5591281,126.9429083,공덕,1.5889682667215004
67,고바우집,4.3,서대문구, 서울특별시 서대문구 명물1길 22,한식, 만원-2만원,2022-07-14,맛있다,11.0,10.0,1.0,0.0,3.909090909090909,37.5585763,126.937609,홍대입구,1.248197619181971
68,화명당마라탕,4.3,서대문구, 서울특별시 서대문구 이화여대길 78,중식, 만원 미만,2022-08-06,맛있다,26.0,25.0,1.0,0.0,4.134615384615385,37.5591281,126.9429083,공덕,1.5889682667215004
69,아콘스톨,4.3,서대문구, 서울특별시 서대문구 신촌역로 17 110호,한식, 만원 미만,2022-07-29,맛있다,12.0,10.0,2.0,0.0,3.583333333333333,37.5591056,126.9412183,홍대입구,1.571705918963191
70,제주도그릴,4.3,서대문구, 서울특별시 서대문구 연희로 89,한식, 만원-2만원,2022-07-29,맛있다,14.0,13.0,1.0,0.0,3.992857142857143,37.5661095,126.9296422,홍대입구,1.169472794559956
71,코블러 연희,4.3,서대문구, 서울특별시 서대문구 연희맛로 31-9,주점, 2만원-3만원,2022-07-18,맛있다,7.0,7.0,0.0,0.0,4.3,37.5681511,126.9309717,홍대입구,1.4249416941139723
72,연희동양꼬치,4.3,서대문구, 서울특별시 서대문구 연희로 81-5,중식, 만원-2만원,2022-06-26,맛있다,8.0,7.0,1.0,0.0,3.7625,37.5869581,126.9345471,디지털미디어시티,3.2345274409411475
73,아저씨네낙지찜,4.3,서대문구, 서울특별시 서대문구 연세로5다길 39,기타, 만원-2만원,2022-08-09,맛있다,6.0,5.0,1.0,0.0,3.583333333333333,37.5566201,126.9343154,홍대입구,0.9409471001374387
74,비하인드리메인,4.2,서대문구, 서울특별시 서대문구 연희로11라길 10-6 101호,카페/디저트, 만원 미만,2022-04-30,맛있다,32.0,27.0,5.0,0.0,3.54375,37.5683653,126.9299674,홍대입구,1.4088926654195002
75,맛있는집,4.2,서대문구, 서울특별시 서대문구 거북골로20길 55,한식, 만원 미만,2022-05-05,맛있다,25.0,24.0,0.0,1.0,3.696,37.5790926,126.9088604,디지털미디어시티,0.8246115333961447
76,요릿집,4.2,서대문구, 서울특별시 서대문구 연희맛로 36 1F,한식, 2만원-3만원,2022-07-07,맛있다,6.0,5.0,1.0,0.0,3.5,37.5681511,126.9309717,홍대입구,1.4249416941139723
77,엔타로커피,4.2,서대문구, 서울특별시 서대문구 명물길 37,카페/디저트, 만원 미만,2022-07-29,맛있다,7.0,7.0,0.0,0.0,4.2,37.5580945,126.9381019,홍대입구,1.2836452609506814
78,이세계는놀이터예요,4.2,서대문구, 서울특별시 서대문구 이화여대길 88-15 1F 2호,양식, 만원 미만,2021-08-23,맛있다,8.0,8.0,0.0,0.0,4.2,37.5591281,126.9429083,공덕,1.5889682667215004
79,피망과토마토,4.1,서대문구, 서울특별시 서대문구 명물길 27-21 6F,주점, 만원-2만원,2022-06-10,맛있다,19.0,17.0,2.0,0.0,3.668421052631578,37.5580945,126.9381019,홍대입구,1.2836452609506814
80,아이덴티티커피랩,4.1,서대문구, 서울특별시 서대문구 모래내로 390 1F,카페/디저트, 만원 미만,2022-08-08,괜찮다,8.0,7.0,1.0,0.0,3.5874999999999995,37.5812627,126.9354203,홍대입구,2.9188435895608404
81,로실링,4.1,서대문구, 서울특별시 서대문구 연세로4길 26,주점, 만원-2만원,2022-01-28,괜찮다,29.0,25.0,4.0,0.0,3.534482758620689,37.5586029,126.9404562,홍대입구,1.4967325218555023
82,카페위검,4.1,서대문구, 서울특별시 서대문구 연희로11가길 8 2F,카페/디저트, 만원 미만,2022-05-06,맛있다,5.0,5.0,0.0,0.0,4.1,37.5671516,126.9271868,홍대입구,1.2003026306329854
83,연탄생고기집,4.1,서대문구, 서울특별시 서대문구 홍제천로 76,한식, 만원-2만원,2022-05-23,맛있다,7.0,7.0,0.0,0.0,4.1,37.5687064,126.9181502,홍대입구,1.4170443747426265
84,진돈부리,4.1,서대문구, 서울특별시 서대문구 신촌로 149 신촌자이엘라 B104,일식, 만원 미만,2022-03-26,맛있다,7.0,7.0,0.0,0.0,4.1,37.5552729,126.9367767,홍대입구,1.169111911376393
85,백색소음,4.0,서대문구, 서울특별시 서대문구 연희로 38-12,주점, 만원-2만원,2021-12-19,맛있다,11.0,10.0,1.0,0.0,3.636363636363636,37.5661095,126.9296422,홍대입구,1.169472794559956
86,에뚜왈,4.0,서대문구, 서울특별시 서대문구 충정로4길 28,카페/디저트, 만원 미만,4 일 전,맛있다,10.0,9.0,1.0,0.0,3.6,37.5600063,126.9645013,시청,1.2602761217561949
87,야채를담다,4.0,서대문구, 서울특별시 서대문구 신촌역로 22-5 2F 51호,카페/디저트, 만원 미만,2021-06-02,맛있다,18.0,18.0,0.0,0.0,4.0,37.5591056,126.9412183,홍대입구,1.571705918963191
88,배바위양곱창,4.0,서대문구, 서울특별시 서대문구 연세로7안길 42,한식, 2만원-3만원,2021-07-03,괜찮다,9.0,8.0,1.0,0.0,3.555555555555556,37.5583893,126.9342625,홍대입구,0.9542199484862748
89,세아마라탕,4.0,서대문구, 서울특별시 서대문구 이화여대길 16,중식, 만원 미만,2021-05-10,맛있다,8.0,7.0,1.0,0.0,3.5,37.5591281,126.9429083,공덕,1.5889682667215004
90,1987피자,3.9,서대문구, 서울특별시 서대문구 연세로11길 26 B1,양식, 만원 미만,2020-12-10,맛있다,22.0,21.0,1.0,0.0,3.722727272727272,37.5589616,126.9363464,홍대입구,1.147065418876361
91,카와카츠,4.8,마포구, 서울특별시 마포구 양화로 78-7 1F,일식, 만원-2만원,2022-08-10,맛있다,62.0,57.0,5.0,0.0,4.412903225806451,37.5482863,126.9124966,홍대입구,1.3589312007281344
92,야키토리나루토,4.8,마포구, 서울특별시 마포구 독막로9길 26,일식, 만원-2만원,4 일 전,맛있다,22.0,22.0,0.0,0.0,4.8,37.5494047,126.9201233,홍대입구,0.8715144865677035
93,파델라,4.8,마포구, 서울특별시 마포구 연남로1길 11 1F,양식, 만원-2만원,2022-08-08,괜찮다,54.0,47.0,7.0,0.0,4.177777777777778,37.5597486,126.9207013,홍대입구,0.4241603200840113
94,카와카츠,4.7,마포구, 서울특별시 마포구 동교로 126 1F 102호,일식, 만원-2만원,2 일 전,맛있다,182.0,156.0,18.0,8.0,3.615384615384616,37.5588726,126.9234285,홍대입구,0.23907672002382455
95,쉐시몽,4.7,마포구, 서울특별시 마포구 월드컵로10길 48 동궁빌딩 1F,다국적음식, 4만원 이상,2022-06-11,맛있다,43.0,42.0,0.0,1.0,4.372093023255815,37.555019,126.9133425,홍대입구,0.9276036895959846
96,코바시,4.7,마포구, 서울특별시 마포구 양화로1길 25-3,일식, 4만원 이상,2022-08-01,맛있다,11.0,10.0,1.0,0.0,4.2727272727272725,37.5521333,126.9081532,홍대입구,1.457874520567332
97,라바즈,4.7,마포구, 서울특별시 마포구 월드컵로13길 19-23 2F,카페/디저트, 만원 미만,5 일 전,맛있다,30.0,29.0,1.0,0.0,4.543333333333334,37.5550093,126.9092717,홍대입구,1.2811016689950063
98,로랑 (휴업중),4.7,마포구, 서울특별시 마포구 성지1길 15 1F,일식, 3만원-4만원,2022-05-28,맛있다,12.0,12.0,0.0,0.0,4.7,37.5477105,126.9141863,홍대입구,1.3040329234843762
99,진만두,4.6,마포구, 서울특별시 마포구 와우산로29길 4-42,중식, 만원 미만,2022-08-04,괜찮다,267.0,229.0,27.0,11.0,3.5662921348314605,37.5551928,126.92925,홍대입구,0.5230457456204944
100,당도,4.6,마포구, 서울특별시 마포구 포은로 106,카페/디저트, 만원 미만,2022-07-29,맛있다,250.0,228.0,19.0,3.0,4.0848,37.5562777,126.9047718,홍대입구,1.6641603633571267
101,카카오다다,4.6,마포구, 서울특별시 마포구 희우정로10길 15,카페/디저트, 만원 미만,2022-07-16,맛있다,57.0,50.0,7.0,0.0,4.035087719298245,37.5531365,126.9052599,홍대입구,1.6689291013741816
102,파이리퍼블릭,4.6,마포구, 서울특별시 마포구 양화로23길 10-10 B1,다국적음식, 만원-2만원,2022-04-26,맛있다,43.0,38.0,4.0,1.0,3.851162790697674,37.5597576,126.9256008,홍대입구,0.3784336990411322
103,우주옥,4.6,마포구, 서울특별시 마포구 동교로50길 11 B02호,한식, 만원-2만원,2022-08-06,맛있다,31.0,26.0,4.0,1.0,3.561290322580645,37.5633615,126.9270196,홍대입구,0.7953106715230643
104,오츠에스프레소,4.6,마포구, 서울특별시 마포구 독막로14길 32,카페/디저트, 만원 미만,2022-07-26,괜찮다,43.0,40.0,3.0,0.0,4.27906976744186,37.5472825,126.9223857,홍대입구,1.0562478524012366
105,제스티살룬,4.6,마포구, 서울특별시 마포구 연희로 31 연남빌딩 B1,양식, 만원 미만,2022-07-29,맛있다,45.0,39.0,6.0,0.0,3.9866666666666655,37.558745,126.9268426,홍대입구,0.36033809997519584
106,윤서울,4.6,마포구, 서울특별시 마포구 홍익로2길 31 1F,한식, 4만원 이상,2022-05-08,맛있다,10.0,10.0,0.0,0.0,4.6,37.55502855,126.92418035,홍대입구,0.19496975062486363
107,젤라떼리아 에따,4.6,마포구, 서울특별시 마포구 월드컵북로4길 44 1F,카페/디저트, 만원 미만,2022-07-27,맛있다,28.0,27.0,1.0,0.0,4.435714285714285,37.5575485,126.9211368,홍대입구,0.23887751115332712
108,르규옹,4.6,마포구, 서울특별시 마포구 성미산로17길 109 1F,양식, 2만원-3만원,2022-07-18,맛있다,7.0,7.0,0.0,0.0,4.6,37.564254,126.9174972,홍대입구,0.9967256020052312
109,산울림1992,4.5,마포구, 서울특별시 마포구 서강로9길 60,주점, 만원-2만원,2022-06-24,맛있다,191.0,163.0,21.0,7.0,3.5104712041884816,37.55427,126.93087,홍대입구,0.693366547380709
110,듁스커피,4.5,마포구, 서울특별시 마포구 어울마당로2길 10,카페/디저트, 만원 미만,2022-07-30,맛있다,156.0,140.0,13.0,3.0,3.865384615384616,37.5461965,126.9199969,홍대입구,1.2144650625948636
111,비파티세리,4.5,마포구, 서울특별시 마포구 마포대로14길 4 1F,카페/디저트, 만원 미만,2022-07-23,맛있다,47.0,41.0,6.0,0.0,3.925531914893617,37.5486084,126.955634,공덕,0.3613153691349941
112,우동 이요이요,4.5,마포구, 서울특별시 마포구 토정로35길 29,일식, 만원 미만,2022-07-13,맛있다,27.0,23.0,3.0,1.0,3.5,37.540389,126.9441188,공덕,1.0116214484629318
113,기노,4.5,마포구, 서울특별시 마포구 삼개로3길 6-1,주점, 2만원-3만원,2022-08-02,맛있다,33.0,28.0,4.0,1.0,3.545454545454546,37.5387226,126.9480406,공덕,0.9763942295327517
114,하나라멘,4.5,마포구, 서울특별시 마포구 동교로38길 27-4 1F,일식, 만원 미만,2022-08-04,맛있다,28.0,23.0,5.0,0.0,3.696428571428572,37.5616945,126.924781,홍대입구,0.5611728071757796
115,무겐스위치,4.5,마포구, 서울특별시 마포구 동교로 242-13,일식, 만원 미만,2022-08-01,맛있다,14.0,13.0,1.0,0.0,4.178571428571429,37.5516806,126.9039678,홍대입구,1.822921971481939
116,전주상회,4.5,마포구, 서울특별시 마포구 성미산로 195,주점, 2만원-3만원,2022-08-08,맛있다,11.0,11.0,0.0,0.0,4.5,37.5586511,126.9090124,홍대입구,1.307160223309568
117,피에트라,4.4,마포구, 서울특별시 마포구 성미산로23길 62 1F,카페/디저트, 만원 미만,2 일 전,맛있다,22.0,20.0,1.0,1.0,3.6,37.5649316,126.9206948,홍대입구,0.948339082998236
118,아소토,4.4,마포구, 서울특별시 마포구 독막로2길 34,주점, 2만원-3만원,2022-06-30,맛있다,19.0,17.0,2.0,0.0,3.936842105263159,37.5481171,126.9146569,홍대입구,1.2427475434124933
119,커피하우스마이샤,4.4,마포구, 서울특별시 마포구 포은로 52 1F,카페/디저트, 만원 미만,3 일 전,맛있다,10.0,9.0,1.0,0.0,3.96,37.5562777,126.9047718,홍대입구,1.6641603633571267
120,수더분,4.4,마포구, 서울특별시 마포구 백범로 152 공덕파크자이 202동 7호,카페/디저트, 만원 미만,2022-02-12,맛있다,6.0,6.0,0.0,0.0,4.4,37.5424849,126.9542078,공덕,0.5195642084387808
121,정성,4.4,마포구, 서울특별시 마포구 방울내로 73,일식, 만원-2만원,2022-04-14,맛있다,7.0,7.0,0.0,0.0,4.4,37.5626113,126.9032733,디지털미디어시티,1.7512048612790416
122,비스트로오라,4.4,마포구, 서울특별시 마포구 동교로 244 2F,양식, 2만원-3만원,2022-08-08,맛있다,4.0,4.0,0.0,0.0,4.4,37.5588726,126.9234285,홍대입구,0.23907672002382455
123,나성타코,4.4,마포구, 서울특별시 마포구 잔다리로2길 24 2F,다국적음식, 만원-2만원,2022-07-31,맛있다,7.0,6.0,1.0,0.0,3.771428571428572,37.5515667,126.9212317,홍대입구,0.6121022260251969
