,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
3606,비아 메렝게,4.5,서대문구, 서울특별시 서대문구 명물길 27-18 1F,다국적음식, 만원-2만원,2022-07-25,맛있다,114,83.0,25.0,6.0
3608,센트그릴 BBQ,4.5,서대문구, 서울특별시 서대문구 연희로 89-3 B1,양식, 만원-2만원,2022-04-29,맛있다,41,34.0,7.0,0.0
3610,파올로데마리아,4.4,서대문구, 서울특별시 서대문구 연희로26길 24,양식, 2만원-3만원,2022-02-14,맛있다,114,86.0,18.0,10.0
3612,르솔레이,4.4,서대문구, 서울특별시 서대문구 연희맛로 7-29,카페/디저트, 만원 미만,2022-06-27,맛있다,93,75.0,12.0,6.0
3613,걸리부,4.4,서대문구, 서울특별시 서대문구 연희맛로 31,중식, 만원 미만,2022-08-06,맛있다,68,53.0,14.0,1.0
3615,천진분식,4.4,서대문구, 서울특별시 서대문구 이화여대5길 7,중식, 만원 미만,2022-05-13,맛있다,38,31.0,7.0,0.0
3616,길상양꼬치,4.4,서대문구, 서울특별시 서대문구 연세로5가길 17,중식, 만원-2만원,2022-06-09,괜찮다,50,40.0,7.0,3.0
3618,폴앤폴리나,4.4,서대문구, 서울특별시 서대문구 연희로11길 56,카페/디저트, 만원 미만,2022-08-07,맛있다,33,33.0,0.0,0.0
3619,책바,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 101호,주점, 만원-2만원,2022-01-22,맛있다,26,25.0,1.0,0.0
3620,연남장,4.4,서대문구, 서울특별시 서대문구 연희로5길 22 1F,카페/디저트, 만원-2만원,2022-06-21,맛있다,20,18.0,2.0,0.0
3621,떼뮤즐렛,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 2F,주점, 만원-2만원,2022-08-04,맛있다,26,26.0,0.0,0.0
3625,반서울 (휴업중),4.3,서대문구, 서울특별시 서대문구 이화여대길 87 2F,양식, 만원-2만원,2022-06-29,맛있다,284,203.0,60.0,21.0
3626,목란,4.3,서대문구, 서울특별시 서대문구 연희로15길 21,중식, 2만원-3만원,2022-05-29,맛있다,149,85.0,56.0,8.0
3627,미스터서왕만두,4.3,서대문구, 서울특별시 서대문구 신촌역로 16,중식, 만원 미만,2022-08-07,맛있다,288,222.0,57.0,9.0
3628,한림돈가,4.3,서대문구, 서울특별시 서대문구 연세로7안길 16-4 1F,한식, 만원-2만원,2022-03-11,맛있다,122,88.0,19.0,15.0
3629,카라멘야,4.3,서대문구, 서울특별시 서대문구 연세로7안길 34-1 1F,일식, 만원 미만,2022-08-03,맛있다,105,73.0,22.0,10.0
3630,까이식당,4.3,서대문구, 서울특별시 서대문구 이화여대2가길 24 1층 1F,다국적아시아음식, 만원 미만,2022-06-03,맛있다,140,106.0,30.0,4.0
3631,우동카덴,4.3,서대문구, 서울특별시 서대문구 연희로 173 거화빌딩 1F,일식, 만원 미만,2022-07-27,맛있다,84,60.0,16.0,8.0
3632,담산,4.3,서대문구, 서울특별시 서대문구 연세로5다길 41,한식, 만원-2만원,2022-08-06,맛있다,50,38.0,10.0,2.0
3633,크래프트비어칸,4.3,서대문구, 서울특별시 서대문구 연희로11길 7,주점, 만원-2만원,2022-06-16,맛있다,25,23.0,2.0,0.0
3634,녹원쌈밥,4.3,서대문구, 서울특별시 서대문구 연희로25길 22,한식, 만원-2만원,2022-06-11,괜찮다,54,41.0,11.0,2.0
3636,위드미치코,4.3,서대문구, 서울특별시 서대문구 충정로4길 20,주점, 만원-2만원,2022-07-17,맛있다,29,26.0,3.0,0.0
3637,영미김밥,4.3,서대문구, 서울특별시 서대문구 신촌역로 21 1F,한식, 만원 미만,2022-05-30,괜찮다,48,38.0,10.0,0.0
3638,Thursday Stuffing,4.3,서대문구, 서울특별시 서대문구 연희로15안길 6-4,양식, 만원-2만원,2022-04-06,맛있다,25,18.0,7.0,0.0
3639,심플리키친,4.3,서대문구, 서울특별시 서대문구 이화여대5길 35 107호,한식, 만원 미만,2022-05-18,맛있다,33,28.0,5.0,0.0
3640,뉴타운,4.3,서대문구, 서울특별시 서대문구 연세로12길 27,주점, 2만원-3만원,2022-06-25,별로,38,32.0,5.0,1.0
3641,바코드,4.3,서대문구, 서울특별시 서대문구 연세로9길 26,주점, 만원-2만원,2022-05-08,맛있다,27,24.0,2.0,1.0
3646,화명당마라탕,4.3,서대문구, 서울특별시 서대문구 이화여대길 78,중식, 만원 미만,2022-08-06,맛있다,26,25.0,1.0,0.0
3653,타코로코,4.2,서대문구, 서울특별시 서대문구 연세로7안길 37,다국적음식, 만원 미만,2022-08-05,맛있다,166,123.0,32.0,11.0
3654,방콕익스프레스,4.2,서대문구, 서울특별시 서대문구 연세로2길 90 백송빌딩 1F,다국적음식, 만원-2만원,2022-07-23,맛있다,227,157.0,41.0,29.0
3655,에노테카오토,4.2,서대문구, 서울특별시 서대문구 연희맛로 17-18,양식, 2만원-3만원,2022-02-16,맛있다,64,48.0,11.0,5.0
3656,만동제과,4.2,서대문구, 서울특별시 서대문구 연희로 32,카페/디저트, 만원 미만,2022-08-08,맛있다,52,40.0,12.0,0.0
3657,고삼이,4.2,서대문구, 서울특별시 서대문구 연세로7안길 38,한식, 만원 미만,2022-06-29,맛있다,126,97.0,24.0,5.0
3658,솔리드웍스,4.2,서대문구, 서울특별시 서대문구 이화여대길 88-3,카페/디저트, 만원 미만,9 시간 전,맛있다,69,53.0,14.0,2.0
3659,에브리띵베이글,4.2,서대문구, 서울특별시 서대문구 연희로11길 29 1F,카페/디저트, 만원 미만,2022-06-02,괜찮다,41,32.0,7.0,2.0
3660,로드샌드위치,4.2,서대문구, 서울특별시 서대문구 연대동문길 45,양식, 만원 미만,2021-11-25,맛있다,136,103.0,30.0,3.0
3662,비하인드리메인,4.2,서대문구, 서울특별시 서대문구 연희로11라길 10-6 101호,카페/디저트, 만원 미만,2022-04-30,맛있다,32,27.0,5.0,0.0
3665,디폴트벨류,4.2,서대문구, 서울특별시 서대문구 성산로 333 2F,카페/디저트, 만원 미만,2022-08-02,괜찮다,27,22.0,4.0,1.0
3666,고기창고,4.2,서대문구, 서울특별시 서대문구 연세로7길 34-4,한식, 만원-2만원,2022-06-12,맛있다,27,16.0,10.0,1.0
3667,맛있는집,4.2,서대문구, 서울특별시 서대문구 거북골로20길 55,한식, 만원 미만,2022-05-05,맛있다,25,24.0,0.0,1.0
3675,마우디,4.1,서대문구, 서울특별시 서대문구 연희로11길 18,양식, 만원-2만원,2022-05-27,괜찮다,133,83.0,32.0,18.0
3676,라구식당,4.1,서대문구, 서울특별시 서대문구 연세로 42-24,양식, 만원-2만원,2022-07-13,괜찮다,198,124.0,59.0,15.0
3677,매뉴팩트커피,4.1,서대문구, 서울특별시 서대문구 연희로11길 29,카페/디저트, 만원 미만,2022-03-14,맛있다,153,124.0,25.0,4.0
3678,소신이쏘,4.1,서대문구, 서울특별시 서대문구 연세로5가길 19,한식, 만원-2만원,3 일 전,별로,213,140.0,50.0,23.0
3679,티앙팡오후의홍차,4.1,서대문구, 서울특별시 서대문구 이화여대길 34 2F,카페/디저트, 만원 미만,2022-07-28,괜찮다,139,101.0,31.0,7.0
3680,야바이,4.1,서대문구, 서울특별시 서대문구 연세로7안길 37,일식, 만원-2만원,2022-07-31,별로,174,108.0,45.0,21.0
