,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
1139,고치소돈카츠,,도봉구, 서울특별시 도봉구 마들로18길 35, 까스 요리, 만원-2만원,2022-02-06,맛있다,1,1.0,0.0,0.0
1140,영수네감자국,,도봉구, 서울특별시 도봉구 도봉로181길 86, 탕 / 찌개 / 전골, 만원-2만원,2020-04-21,맛있다,5,4.0,0.0,1.0
1141,스시황,,도봉구, 서울특별시 도봉구 노해로65길 11 한성빌딩, 회 / 스시, 만원-2만원,2019-12-26,맛있다,5,2.0,2.0,1.0
1142,등촌샤브칼국수,,도봉구, 서울특별시 도봉구 덕릉로54길 23, 탕 / 찌개 / 전골, 만원-2만원,2021-08-03,맛있다,5,5.0,0.0,0.0
1143,더차우,,도봉구, 서울특별시 도봉구 노해로63가길 63 창동신도브래뉴1차상가 2F, 정통 중식 / 일반 중식, 만원 미만,2021-12-31,맛있다,4,2.0,2.0,0.0
1144,셀라,,도봉구, 서울특별시 도봉구 노해로65길 11 한성빌딩 107호, 카페 / 디저트, 만원 미만,2022-06-17,맛있다,3,3.0,0.0,0.0
1145,경우가,,도봉구, 서울특별시 도봉구 덕릉로 282-1, 탕 / 찌개 / 전골, 만원 미만,2018-03-22,맛있다,1,1.0,0.0,0.0
1146,맥켄치킨,,도봉구, 서울특별시 도봉구 노해로63다길 6, 닭 / 오리 요리, 만원-2만원,2021-11-24,맛있다,1,1.0,0.0,0.0
1147,베스킨라빈스,,도봉구, 서울특별시 도봉구 덕릉로 220, 카페 / 디저트, 만원 미만,2022-02-12,맛있다,1,1.0,0.0,0.0
1148,씨앗플러스,,도봉구, 서울특별시 도봉구 도봉로 602-10, 카페 / 디저트, 만원 미만,2021-03-11,별로,5,4.0,0.0,1.0
1149,복진해물잔치마당,,도봉구, 서울특별시 도봉구 방학로11길 101 2F, 해산물 요리, 3만원-4만원,2020-06-22,괜찮다,5,1.0,3.0,1.0
1150,영즉석떡볶이,,도봉구, 서울특별시 도봉구 도봉로109길 35-26, 기타 한식, 만원 미만,2021-05-26,별로,4,2.0,0.0,2.0
1151,화승꽈배기,,도봉구, 서울특별시 도봉구 도봉로114길 22-5,0,만원 미만,2021-11-29,괜찮다,4,1.0,3.0,0.0
