,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
404,가고파설렁탕,3.9,중랑구,주소 서울특별시 중랑구 봉우재로 200,음식 종류 탕 / 찌개 / 전골,0,2021-07-02,맛있다,6,3.0,3.0,0.0
405,울타리철판곱창전문,3.9,중랑구,주소 서울특별시 중랑구 중랑역로 14-1,음식 종류 고기 요리,가격대 만원 미만,2021-09-23,괜찮다,14,10.0,4.0,0.0
406,한참치,3.7,중랑구,주소 서울특별시 중랑구 공릉로 32 공감대아파트 상가 1F,음식 종류 회 / 스시,가격대 3만원-4만원,2022-07-02,괜찮다,19,12.0,4.0,3.0
407,홍이네떡볶이,3.5,중랑구,주소 서울특별시 중랑구 망우로73길 26,음식 종류 기타 한식,가격대 만원 미만,2022-01-05,맛있다,21,12.0,3.0,6.0
408,파크더블유,3.3,중랑구,주소 서울특별시 중랑구 양원역로16길 103-111,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-30,별로,10,5.0,4.0,1.0
409,어글리스토브,3.1,중랑구,주소 서울특별시 중랑구 상봉로 131,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-06-03,맛있다,21,7.0,8.0,6.0
410,낙원복떡집,,중랑구,주소 서울특별시 중랑구 봉우재로14길 20,음식 종류 카페 / 디저트,가격대 만원 미만,0,0,4,4.0,0.0,0.0
411,M16멀티펍,,중랑구,주소 서울특별시 중랑구 면목로 289 1F,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,0,0,6,5.0,1.0,0.0
412,숯불닭갈비에 반하닭,4.7,중랑구,주소 서울특별시 중랑구 면목로 352 1F,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2020-11-08,맛있다,18,17.0,1.0,0.0
413,스시고메이,4.3,중랑구,주소 서울특별시 중랑구 공릉로 8-6,음식 종류 회 / 스시,가격대 2만원-3만원,2021-07-04,괜찮다,22,16.0,4.0,2.0
414,진미각,,중랑구,주소 서울특별시 중랑구 겸재로 225,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-04-12,맛있다,6,4.0,2.0,0.0
415,장수살롱,,중랑구,주소 서울특별시 중랑구 면목로55길 18,음식 종류 치킨 / 호프 / 펍,가격대 만원 미만,2018-03-28,괜찮다,5,2.0,3.0,0.0
416,내친구고양이카페,,중랑구,주소 서울특별시 중랑구 면목로 306 3F,가격대 만원 미만,주차 주차공간없음,2022-01-23,맛있다,4,3.0,1.0,0.0
417,오스테리아주연,,중랑구,주소 서울특별시 중랑구 봉우재로37길 9,음식 종류 이탈리안,가격대 2만원-3만원,2020-02-25,괜찮다,11,6.0,3.0,2.0
418,스시혼,,중랑구,주소 서울특별시 중랑구 신내로 50 한덕빌딩,음식 종류 회 / 스시,가격대 만원-2만원,2020-02-25,괜찮다,16,7.0,7.0,2.0
419,상봉커피,,중랑구,주소 서울특별시 중랑구 봉우재로 96 삼신제일빌딩,음식 종류 카페 / 디저트,가격대 만원 미만,2021-12-09,괜찮다,7,4.0,3.0,0.0
420,연어에 반하다,,중랑구,주소 서울특별시 중랑구 봉화산로 42,음식 종류 회 / 스시,가격대 만원-2만원,2021-12-20,괜찮다,7,5.0,2.0,0.0
421,파파라멘,,중랑구,주소 서울특별시 중랑구 사가정로50길 5,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2022-04-20,별로,13,6.0,6.0,1.0
422,맑은샘,,중랑구,주소 서울특별시 중랑구 용마산로99길 13,음식 종류 기타 한식,가격대 만원 미만,2021-10-05,맛있다,13,10.0,1.0,2.0
423,부대닭,,중랑구,주소 서울특별시 중랑구 봉화산로 94 오선빌딩,음식 종류 닭 / 오리 요리,가격대 만원 미만,0,0,4,3.0,1.0,0.0
424,오자매양꼬치,,중랑구,주소 서울특별시 중랑구 중랑역로 227,음식 종류 기타 중식,가격대 만원-2만원,2021-06-29,맛있다,1,1.0,0.0,0.0
425,파란고양이와단팥빵,,중랑구,주소 서울특별시 중랑구 봉화산로56길 46,음식 종류 베이커리,가격대 만원 미만,2020-03-09,맛있다,5,4.0,1.0,0.0
426,한도니,,중랑구,주소 서울특별시 중랑구 봉화산로54길 32,음식 종류 고기 요리,가격대 만원-2만원,2022-05-30,맛있다,5,4.0,1.0,0.0
427,토리아에즈,,중랑구,주소 서울특별시 중랑구 면목로48길 65 1F,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,0,0,0,,,
428,흥부골숯불돼지왕갈비,,중랑구,주소 서울특별시 중랑구 면목로 341 1F,음식 종류 고기 요리,가격대 만원-2만원,2022-07-31,맛있다,6,5.0,0.0,1.0
429,소소라떼,,중랑구,주소 서울특별시 중랑구 봉우재로70길 91 1F,음식 종류 카페 / 디저트,가격대 만원 미만,0,0,6,6.0,0.0,0.0
430,세컨드고메,,중랑구,주소 서울특별시 중랑구 동일로 927,음식 종류 이탈리안,가격대 만원-2만원,2020-07-22,맛있다,3,3.0,0.0,0.0
431,아웃백스테이크하우스,,중랑구,주소 서울특별시 중랑구 망우로 293,음식 종류 스테이크 / 바베큐,가격대 3만원-4만원,2018-06-03,맛있다,16,10.0,5.0,1.0
432,나베정,,중랑구,주소 서울특별시 중랑구 송림길 5 103호,음식 종류 기타 일식,가격대 만원-2만원,2022-05-30,맛있다,2,2.0,0.0,0.0
433,브라더야끼,,중랑구,주소 서울특별시 중랑구 공릉로 38 자이아파트상가 101동 119-120호,음식 종류 기타 중식,가격대 2만원-3만원,2021-10-03,맛있다,5,4.0,1.0,0.0
434,라떼플로라,,중랑구,주소 서울특별시 중랑구 동일로156길 7 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2018-10-09,별로,3,1.0,1.0,1.0
435,단집,,중랑구,주소 서울특별시 중랑구 사가정로54길 69,음식 종류 카페 / 디저트,가격대 만원 미만,2021-05-27,맛있다,8,8.0,0.0,0.0
436,허밍버드,,중랑구,주소 서울특별시 중랑구 상봉중앙로1가길 1-10,음식 종류 카페 / 디저트,가격대 만원 미만,2022-02-11,맛있다,7,7.0,0.0,0.0
437,동부고려제과,,중랑구,주소 서울특별시 중랑구 망우로 388,음식 종류 베이커리,가격대 만원 미만,2020-08-03,맛있다,5,3.0,1.0,1.0
438,루앙의부엉이,,중랑구,주소 서울특별시 중랑구 사가정로 374 킴스타워 1F 101호,음식 종류 베이커리,가격대 만원 미만,2020-04-24,맛있다,3,3.0,0.0,0.0
439,만두만,,중랑구,주소 서울특별시 중랑구 면목로44길 57,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-03-28,맛있다,3,2.0,1.0,0.0
440,개인공간,,중랑구,주소 서울특별시 중랑구 송림길 12 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-03,맛있다,6,2.0,4.0,0.0
441,BREAD850,,중랑구,주소 서울특별시 중랑구 동일로 850,음식 종류 베이커리,가격대 만원 미만,2021-09-24,맛있다,2,2.0,0.0,0.0
442,가나점보돈까스,,중랑구,주소 서울특별시 중랑구 용마산로94가길 24,음식 종류 기타 한식,가격대 만원 미만,2021-04-04,괜찮다,8,5.0,3.0,0.0
443,이층커피,,중랑구,주소 서울특별시 중랑구 동일로 805-1 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-21,괜찮다,5,4.0,1.0,0.0
444,사가정손두부,,중랑구,주소 서울특별시 중랑구 면목로44길 62,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,4 일 전,괜찮다,3,0.0,3.0,0.0
445,태능배밭갈비,,중랑구,주소 서울특별시 중랑구 동일로143길 30,음식 종류 고기 요리,0,2021-09-24,맛있다,2,1.0,1.0,0.0
446,용마쉼터,,중랑구,주소 서울특별시 중랑구 용마산로112나길 69 용마랜드,음식 종류 닭 / 오리 요리,가격대 2만원-3만원,2022-06-30,맛있다,3,1.0,2.0,0.0
447,빛나는바다,,중랑구,주소 서울특별시 중랑구 중랑역로 249,음식 종류 해산물 요리,가격대 만원-2만원,2021-12-14,별로,2,1.0,0.0,1.0
448,찜집,,중랑구,주소 서울특별시 중랑구 면목로 287,음식 종류 해산물 요리,가격대 만원-2만원,2019-05-19,맛있다,11,9.0,0.0,2.0
449,이학갈비,,중랑구,주소 서울특별시 중랑구 면목로 310,음식 종류 고기 요리,가격대 2만원-3만원,2022-07-26,괜찮다,5,3.0,2.0,0.0
450,ㅎㅎ포차,,중랑구,주소 서울특별시 중랑구 봉우재로33길 88,음식 종류 전통 주점 / 포차,가격대 만원-2만원,2018-02-01,맛있다,1,1.0,0.0,0.0
451,농부보쌈,,중랑구,주소 서울특별시 중랑구 용마산로 389,음식 종류 고기 요리,가격대 만원-2만원,2022-02-06,별로,14,10.0,2.0,2.0
