,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
30,하누소,3.6,도봉구,주소 서울특별시 도봉구 노해로 327,음식 종류 고기 요리,가격대 만원-2만원,2022-08-02,별로,28,17,6,5
31,윤짬뽕,3.6,도봉구,주소 서울특별시 도봉구 방학로 183,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-03-20,별로,14,7,5,2
32,무궁화로스터즈,3.5,도봉구,주소 서울특별시 도봉구 도봉로112길 23 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-19,괜찮다,8,3,5,0
33,미미,3.4,도봉구,주소 서울특별시 도봉구 도봉로112길 20,음식 종류 정통 중식 / 일반 중식,가격대 만원-2만원,2022-03-04,괜찮다,14,8,6,0
34,사이코우스시,3.3,도봉구,주소 서울특별시 도봉구 방학로7길 99,음식 종류 회 / 스시,가격대 만원-2만원,2021-06-20,괜찮다,25,12,9,4
35,스시혼,3.2,도봉구,주소 서울특별시 도봉구 도봉로110길 8,음식 종류 회 / 스시,가격대 2만원-3만원,2022-06-22,맛있다,47,23,12,12
36,카페고르,3.1,도봉구,주소 서울특별시 도봉구 도봉로112길 38 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-02-09,별로,11,3,5,3
37,커피베이,,도봉구,주소 서울특별시 도봉구 덕릉로57길 14 신창시장 102호,가격대 만원 미만,0,2022-05-24,맛있다,8,8,0,0
38,백번가코다리,,도봉구,주소 서울특별시 도봉구 마들로11가길 6-25 창동월가타워 1F,음식 종류 해산물 요리,가격대 만원-2만원,2022-01-28,맛있다,25,25,0,0
39,카페7179,,도봉구,주소 서울특별시 도봉구 도봉로110길 97 1F,음식 종류 카페 / 디저트,가격대 만원 미만,0,0,1,1,0,0
40,손짱카레,,도봉구,주소 서울특별시 도봉구 도당로29길 16,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원 미만,2020-07-04,괜찮다,4,3,1,0
41,도본,,도봉구,주소 서울특별시 도봉구 우이천로 288-3 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2021-10-08,맛있다,14,14,0,0
42,가배미혼,,도봉구,주소 서울특별시 도봉구 도봉로115길 4,가격대 만원 미만,주차 주차공간없음,2021-10-13,맛있다,15,12,2,1
43,미스터빽실장종합어시장,,도봉구,주소 서울특별시 도봉구 도봉로 458 1F,음식 종류 해산물 요리,가격대 2만원-3만원,2022-08-01,맛있다,5,4,1,0
44,옛집갈비,,도봉구,주소 서울특별시 도봉구 도봉로109길 24,음식 종류 고기 요리,가격대 만원-2만원,2021-05-23,맛있다,2,2,0,0
45,푸쿠푸쿠,,도봉구,주소 서울특별시 도봉구 노해로45길 17 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2020-08-01,괜찮다,12,10,2,0
46,경복궁,,도봉구,주소 서울특별시 도봉구 도봉로 610 1F,음식 종류 한정식 / 백반 / 정통 한식,가격대 2만원-3만원,2013-12-09,맛있다,6,5,1,0
47,뻬지아슈,,도봉구,주소 서울특별시 도봉구 도봉로150길 43 131호,음식 종류 카페 / 디저트,가격대 만원 미만,2022-02-19,맛있다,4,4,0,0
48,꽃돼지,,도봉구,주소 서울특별시 도봉구 도봉로104길 104,음식 종류 고기 요리,가격대 만원-2만원,0,0,1,1,0,0
49,카페 152길,,도봉구,주소 서울특별시 도봉구 도봉로152길 29-4,음식 종류 카페 / 디저트,가격대 만원 미만,2020-11-22,괜찮다,8,3,5,0
50,맥반석조개구이,,도봉구,주소 서울특별시 도봉구 도봉로110나길 11,음식 종류 해산물 요리,가격대 2만원-3만원,2020-10-23,맛있다,6,6,0,0
51,스시화,,도봉구,주소 서울특별시 도봉구 도봉로 506,음식 종류 회 / 스시,가격대 만원-2만원,2022-04-15,맛있다,5,5,0,0
52,덩어리,,도봉구,주소 서울특별시 도봉구 노해로63길 79,음식 종류 고기 요리,가격대 만원-2만원,2019-10-31,맛있다,10,6,2,2
53,고기굽는베베,,도봉구,주소 서울특별시 도봉구 도봉로 723,음식 종류 고기 요리,가격대 만원-2만원,2019-08-29,맛있다,3,3,0,0
54,몽상가 크레이프 전문점,,도봉구,주소 서울특별시 도봉구 도봉로143길 30,음식 종류 카페 / 디저트,가격대 만원 미만,2020-04-26,맛있다,9,7,2,0
55,어랑,,도봉구,주소 서울특별시 도봉구 도봉로170길 2,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2020-04-01,괜찮다,6,5,1,0
56,감포면옥,,도봉구,주소 서울특별시 도봉구 노해로 243,음식 종류 고기 요리,가격대 2만원-3만원,2021-11-03,맛있다,3,3,0,0
