,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
64,오트렉,4.3,서울시 중구,주소 서울특별시 중구 퇴계로41길 43 3F,음식 종류 프랑스 음식,가격대 3만원-4만원,2022-07-04,맛있다,23,19,4,0
65,서울다이닝,4.3,서울시 중구,주소 서울특별시 중구 동호로 272 Welcomm City,음식 종류 이탈리안,가격대 4만원 이상,2022-04-01,맛있다,14,11,3,0
66,하니칼국수,4.3,서울시 중구,주소 서울특별시 중구 퇴계로 411-15,음식 종류 국수 / 면 요리,가격대 만원-2만원,6 일 전,괜찮다,40,30,5,5
67,페닌슐라,4.3,서울시 중구,주소 서울특별시 중구 남대문로 81 롯데호텔서울 본관 1F,음식 종류 이탈리안,가격대 4만원 이상,2022-05-23,맛있다,17,12,5,0
68,수와,4.3,서울시 중구,주소 서울특별시 중구 다산로11길 19 백석빌딩 신관 102호,음식 종류 퓨전 양식,가격대 만원-2만원,2021-06-26,맛있다,17,14,3,0
69,촛불1978,4.3,서울시 중구,주소 서울특별시 중구 소파로 95,음식 종류 이탈리안,가격대 4만원 이상,2022-02-24,맛있다,29,20,8,1
70,가쯔야,4.3,서울시 중구,주소 서울특별시 중구 다동길 46,음식 종류 까스 요리,가격대 만원-2만원,2022-07-05,맛있다,19,15,4,0
71,을지로양대장,4.3,서울시 중구,주소 서울특별시 중구 수표로 54-1 2F,음식 종류 고기 요리,가격대 만원-2만원,2022-05-26,맛있다,17,14,3,0
72,을지깐깐,4.3,서울시 중구,주소 서울특별시 중구 을지로12길 12 2F,음식 종류 베트남 음식,가격대 만원-2만원,2022-06-27,맛있다,26,20,4,2
73,용금옥,4.3,서울시 중구,주소 서울특별시 중구 다동길 24-2,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-07-20,맛있다,19,16,2,1
74,혼고기,4.3,서울시 중구,주소 서울특별시 중구 동호로20길 86,가격대 만원-2만원,0,5 일 전,맛있다,4,4,0,0
75,엘까페씨또바,4.3,서울시 중구,주소 서울특별시 중구 동호로11가길 25 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-10,맛있다,11,11,0,0
76,카키,4.3,서울시 중구,주소 서울특별시 중구 퇴계로81길 7-18 1F,음식 종류 기타 양식,가격대 만원-2만원,5 일 전,맛있다,12,9,3,0
77,드로우에스프레소바,4.3,서울시 중구,주소 서울특별시 중구 서소문로6길 45 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-08,맛있다,11,10,1,0
78,세림,4.3,서울시 중구,주소 서울특별시 중구 을지로1길 32-3,음식 종류 탕 / 찌개 / 전골,가격대 2만원-3만원,2022-04-07,맛있다,6,5,1,0
79,영덕회식당,4.3,서울시 중구,주소 서울특별시 중구 창경궁로1길 6,음식 종류 해산물 요리,가격대 만원-2만원,2021-12-27,맛있다,12,10,1,1
80,앨리키친,4.3,서울시 중구,주소 서울특별시 중구 퇴계로 304-14,음식 종류 스테이크 / 바베큐,가격대 만원-2만원,2022-01-31,맛있다,11,9,2,0
81,고씨네고추장찌개,4.3,서울시 중구,주소 서울특별시 중구 수표로 26 1F,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-04-27,맛있다,5,5,0,0
82,존라멘,4.3,서울시 중구,주소 서울특별시 중구 퇴계로49길 33 1F,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2022-07-09,맛있다,5,5,0,0
83,마포쭈꾸미,4.3,서울시 중구,주소 서울특별시 중구 을지로15길 9-1,음식 종류 해산물 요리,가격대 만원-2만원,2022-07-11,맛있다,7,7,0,0
84,황소집,4.3,서울시 중구,주소 서울특별시 중구 충무로2길 2,음식 종류 탕 / 찌개 / 전골,가격대 2만원-3만원,2022-03-31,맛있다,7,7,0,0
85,카돈마리,4.3,서울시 중구,주소 서울특별시 중구 서소문로9길 28 덕수궁롯데캐슬 B112-B113호,음식 종류 까스 요리,가격대 만원-2만원,2022-07-31,맛있다,8,6,2,0
86,땡초곱창,4.3,서울시 중구,주소 서울특별시 중구 퇴계로87길 54,음식 종류 고기 요리,가격대 만원-2만원,2022-06-20,맛있다,9,9,0,0
87,우동가조쿠,4.3,서울시 중구,주소 서울특별시 중구 동호로14길 23 2F,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2022-08-07,맛있다,6,6,0,0
88,호우섬,4.3,서울시 중구,주소 서울특별시 중구 을지로 30 14F,음식 종류 딤섬 / 만두,가격대 2만원-3만원,2022-07-02,맛있다,5,5,0,0
89,대원집,4.3,서울시 중구,주소 서울특별시 중구 을지로3길 30-4,음식 종류 고기 요리,가격대 만원-2만원,2022-07-31,맛있다,5,5,0,0
90,신동궁감자탕,4.3,서울시 중구,주소 서울특별시 중구 명동9길 43,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,5 일 전,맛있다,6,5,1,0
91,오뗄두스,4.2,서울시 중구,주소 서울특별시 중구 세종대로 136 서울파이낸스빌딩 B2,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-13,맛있다,224,178,30,16
92,진주회관,4.2,서울시 중구,주소 서울특별시 중구 세종대로11길 26,음식 종류 국수 / 면 요리,가격대 만원 미만,22 시간 전,맛있다,259,177,43,39
93,제로컴플렉스,4.2,서울시 중구,주소 서울특별시 중구 퇴계로6가길 30 3F,음식 종류 프랑스 음식,가격대 4만원 이상,2022-06-02,맛있다,44,28,12,4
94,적당,4.2,서울시 중구,주소 서울특별시 중구 을지로 29,음식 종류 카페 / 디저트,가격대 만원 미만,49 분 전,괜찮다,79,54,22,3
95,명동교자,4.2,서울시 중구,주소 서울특별시 중구 명동10길 10,음식 종류 국수 / 면 요리,가격대 만원 미만,4 분 전,맛있다,294,195,77,22
96,그라넘다이닝라운지,4.2,서울시 중구,주소 서울특별시 중구 장충단로 60 1F,음식 종류 뷔페,가격대 4만원 이상,6 일 전,맛있다,24,15,6,3
97,오장동흥남집,4.2,서울시 중구,주소 서울특별시 중구 마른내로 114,음식 종류 국수 / 면 요리,가격대 만원-2만원,3 일 전,맛있다,90,57,28,5
98,디라이프스타일키친,4.2,서울시 중구,주소 서울특별시 중구 세종대로 136 서울파이낸스센터 B1 101호,음식 종류 세계음식 기타,가격대 2만원-3만원,2022-07-09,맛있다,46,35,10,1
